PROB_NAME,MACHINE,Input Length,Average Time,Total Time,,,,,,,,,,,,
PI_SERIES,LAB207,16,3.224E-07,2.59492E-05,,,,,,,,,,,,
PI_SERIES,LAB207,32,4.774E-07,2.54834E-05,,,,,,,,,,,,
PI_SERIES,LAB207,64,0.000000808,2.61672E-05,,,,,,,,,,,,
PI_SERIES,LAB207,128,1.4724E-06,2.65828E-05,,,,,,,,,,,,
PI_SERIES,LAB207,256,2.8466E-06,0.000027834,,,,,,,,,,,,
PI_SERIES,LAB207,512,5.4948E-06,3.05198E-05,,,,,,,,,,,,
PI_SERIES,LAB207,1024,1.08928E-05,3.54324E-05,,,,,,,,,,,,
PI_SERIES,LAB207,2048,2.13724E-05,0.000046019,,,,,,,,,,,,
PI_SERIES,LAB207,4096,4.29312E-05,0.000067767,,,,,,,,,,,,
PI_SERIES,LAB207,8192,8.68986E-05,0.000111178,,,,,,,,,,,,
PI_SERIES,LAB207,16384,0.000174702,0.00019961,,,,,,,,,,,,
PI_SERIES,LAB207,32768,0.000346132,0.000370551,,,,,,,,,,,,
PI_SERIES,LAB207,65536,0.000690989,0.000715836,,,,,,,,,,,,
PI_SERIES,LAB207,131072,0.001335311,0.001359649,,,,,,,,,,,,
PI_SERIES,LAB207,262144,0.002662223,0.002688543,,,,,,,,,,,,
PI_SERIES,LAB207,524288,0.00520035,0.005224853,,,,,,,,,,,,
PI_SERIES,LAB207,1048576,0.010034924,0.010058842,,,,,,,,,,,,
PI_SERIES,LAB207,2097152,0.019752593,0.019776408,,,,,,,,,,,,
PI_SERIES,LAB207,4194304,0.038886254,0.038910463,,,,,,,,,,,,
PI_SERIES,LAB207,8388608,0.07468309,0.074708422,,,,,,,,,,,,
PI_SERIES,LAB207,16777216,0.149346707,0.149370548,,,,,,,,,,,,
PI_SERIES,LAB207,33554432,0.296364247,0.296387525,,,,,,,,,,,,
PI_SERIES,LAB207,67108864,0.593032166,0.593058241,,,,,,,,,,,,
PI_SERIES,LAB207,134217728,1.184564077,1.184587778,,,,,,,,,,,,
PI_SERIES,LAB207,268435456,2.363780835,2.363804862,,,,,,,,,,,,
PI_SERIES,CLUSTER,16,3.17E-07,1.04E-05,,,,,,,,,,,,
PI_SERIES,CLUSTER,32,4.91E-07,1.23E-05,,,,,,,,,,,,
PI_SERIES,CLUSTER,64,8.35E-07,1.03E-05,,,,,,,,,,,,
PI_SERIES,CLUSTER,128,1.53E-06,1.14E-05,,,,,,,,,,,,
PI_SERIES,CLUSTER,256,2.93E-06,1.25E-05,,,,,,,,,,,,
PI_SERIES,CLUSTER,512,5.75E-06,1.52E-05,,,,,,,,,,,,
PI_SERIES,CLUSTER,1024,1.15E-05,2.12E-05,,,,,,,,,,,,
PI_SERIES,CLUSTER,2048,2.37E-05,3.53E-05,,,,,,,,,,,,
PI_SERIES,CLUSTER,4096,4.51E-05,5.45E-05,,,,,,,,,,,,
PI_SERIES,CLUSTER,8192,9.32E-05,1.03E-04,,,,,,,,,,,,
PI_SERIES,CLUSTER,16384,1.85E-04,1.95E-04,,,,,,,,,,,,
PI_SERIES,CLUSTER,32768,3.56E-04,3.66E-04,,,,,,,,,,,,
PI_SERIES,CLUSTER,65536,7.04E-04,7.14E-04,,,,,,,,,,,,
PI_SERIES,CLUSTER,131072,1.39E-03,1.40E-03,,,,,,,,,,,,
PI_SERIES,CLUSTER,262144,2.79E-03,2.79E-03,,,,,,,,,,,,
PI_SERIES,CLUSTER,524288,5.65E-03,5.66E-03,,,,,,,,,,,,
PI_SERIES,CLUSTER,1048576,1.13E-02,1.13E-02,,,,,,,,,,,,
PI_SERIES,CLUSTER,2097152,2.22E-02,2.22E-02,,,,,,,,,,,,
PI_SERIES,CLUSTER,4194304,4.43E-02,4.43E-02,,,,,,,,,,,,
PI_SERIES,CLUSTER,8388608,8.80E-02,8.80E-02,,,,,,,,,,,,
PI_SERIES,CLUSTER,16777216,1.76E-01,1.76E-01,,,,,,,,,,,,
PI_SERIES,CLUSTER,33554432,3.56E-01,3.56E-01,,,,,,,,,,,,
PI_SERIES,CLUSTER,67108864,7.15E-01,7.15E-01,,,,,,,,,,,,
PI_SERIES,CLUSTER,134217728,1.42E+00,1.42E+00,,,,,,,,,,,,
PI_SERIES,CLUSTER,268435456,2.81E+00,2.81E+00,,,,,,,,,,,,
