PROB_NAME,MACHINE,Input Length,Average Time,Total Time,,,,,,,,,,,,
MUL_VECTORS,LAB207,16,1.80E-07,2.65E-05,,,,,,,,,,,,
MUL_VECTORS,LAB207,32,2.49E-07,2.46E-05,,,,,,,,,,,,
MUL_VECTORS,LAB207,64,3.80E-07,2.74E-05,,,,,,,,,,,,
MUL_VECTORS,LAB207,128,7.07E-07,2.55E-05,,,,,,,,,,,,
MUL_VECTORS,LAB207,256,1.30E-06,2.77E-05,,,,,,,,,,,,
MUL_VECTORS,LAB207,512,2.50E-06,3.02E-05,,,,,,,,,,,,
MUL_VECTORS,LAB207,1024,7.42E-06,3.46E-05,,,,,,,,,,,,
MUL_VECTORS,LAB207,2048,1.72E-05,4.60E-05,,,,,,,,,,,,
MUL_VECTORS,LAB207,4096,3.81E-05,6.56E-05,,,,,,,,,,,,
MUL_VECTORS,LAB207,8192,7.93E-05,0.000108479,,,,,,,,,,,,
MUL_VECTORS,LAB207,16384,1.64E-04,0.00019557,,,,,,,,,,,,
MUL_VECTORS,LAB207,32768,3.37E-04,0.000371539,,,,,,,,,,,,
MUL_VECTORS,LAB207,65536,6.78E-04,0.000713939,,,,,,,,,,,,
MUL_VECTORS,LAB207,131072,1.34E-03,0.001374423,,,,,,,,,,,,
MUL_VECTORS,LAB207,262144,2.67E-03,0.002704624,,,,,,,,,,,,
MUL_VECTORS,LAB207,524288,5.28E-03,0.005315371,,,,,,,,,,,,
MUL_VECTORS,LAB207,1048576,1.02E-02,0.010209455,,,,,,,,,,,,
MUL_VECTORS,LAB207,2097152,2.00E-02,0.020039323,,,,,,,,,,,,
MUL_VECTORS,LAB207,4194304,3.91E-02,0.039165075,,,,,,,,,,,,
MUL_VECTORS,LAB207,8388608,7.62E-02,0.076269515,,,,,,,,,,,,
MUL_VECTORS,LAB207,16777216,1.51E-01,0.15144031,,,,,,,,,,,,
MUL_VECTORS,LAB207,33554432,3.01E-01,0.301366905,,,,,,,,,,,,
MUL_VECTORS,LAB207,67108864,5.98E-01,0.59787337,,,,,,,,,,,,
MUL_VECTORS,LAB207,134217728,1.20E+00,1.199093533,,,,,,,,,,,,
MUL_VECTORS,LAB207,268435456,2.391754013,2.391789517,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,16,1.60E-07,3.76E-05,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,32,2.52E-07,3.70E-05,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,64,3.91E-07,3.94E-05,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,128,6.64E-07,3.78E-05,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,256,1.24E-06,3.99E-05,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,512,2.34E-06,4.10E-05,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,1024,5.99E-06,4.47E-05,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,2048,1.35E-05,5.56E-05,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,4096,2.85E-05,6.61E-05,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,8192,6.14E-05,1.01E-04,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,16384,0.000127285,1.66E-04,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,32768,0.000251716,0.000288912,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,65536,0.000558193,0.000595926,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,131072,0.001211756,0.001248324,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,262144,0.002381598,0.002420263,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,524288,0.00423088,0.004268588,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,1048576,0.007660504,0.007697772,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,2097152,0.015323026,0.015360483,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,4194304,0.030772576,0.03081014,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,8388608,0.061242028,0.061280342,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,16777216,0.12217647,0.122217526,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,33554432,0.244121624,0.244161346,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,67108864,0.490045602,0.490086535,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,134217728,0.988699198,0.988742452,,,,,,,,,,,,
MUL_VECTORS,CLUSTER,268435456,1.9845738,1.984615567,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
