PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_KIJ,CLUSTER,4,6.28E-07,4.99E-05
MATMUL_KIJ,CLUSTER,8,3.95E-06,5.96E-05
MATMUL_KIJ,CLUSTER,16,2.71E-05,8.58E-05
MATMUL_KIJ,CLUSTER,32,0.00018072,0.000236068
MATMUL_KIJ,CLUSTER,64,0.001707606,0.001803591
MATMUL_KIJ,CLUSTER,128,0.011006787,0.011199888
MATMUL_KIJ,CLUSTER,256,0.089429828,0.09015344
MATMUL_KIJ,CLUSTER,512,0.572752673,0.57503975
MATMUL_KIJ,CLUSTER,1024,4.50944018,4.519195669
MATMUL_KIJ,LAB207,4,5.53E-07,2.60E-05
MATMUL_KIJ,LAB207,8,2.72E-06,2.79E-05
MATMUL_KIJ,LAB207,16,1.99E-05,4.80E-05
MATMUL_KIJ,LAB207,32,0.000168421,0.000202933
MATMUL_KIJ,LAB207,64,0.001262283,0.001323694
MATMUL_KIJ,LAB207,128,0.008676024,0.008833368
MATMUL_KIJ,LAB207,256,0.066810287,0.067338147
MATMUL_KIJ,LAB207,512,0.520576981,0.522485238
MATMUL_KIJ,LAB207,1024,4.197339899,4.204620711
