PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
PI_TRAPEZOIDAL,CLUSTER,4,2.63e-07,4.42746e-05
PI_TRAPEZOIDAL,CLUSTER,8,8.179999999999999e-07,4.4864600000000004e-05
PI_TRAPEZOIDAL,CLUSTER,16,6.0846e-06,4.75244e-05
PI_TRAPEZOIDAL,CLUSTER,32,5.1733e-05,0.000101027
PI_TRAPEZOIDAL,CLUSTER,64,0.0005319126,0.0006008131999999999
PI_TRAPEZOIDAL,CLUSTER,128,0.0039146446,0.004043331
PI_TRAPEZOIDAL,CLUSTER,256,0.032155077,0.0325609556
PI_TRAPEZOIDAL,CLUSTER,512,0.2687093424,0.2702725692
PI_TRAPEZOIDAL,CLUSTER,1024,2.1603715144,2.1673731174
PI_TRAPEZOIDAL,LAB207,4,2.536e-07,2.54778e-05
PI_TRAPEZOIDAL,LAB207,8,5.994e-07,2.5525e-05
PI_TRAPEZOIDAL,LAB207,16,3.2924e-06,3.0235799999999996e-05
PI_TRAPEZOIDAL,LAB207,32,2.42094e-05,5.48642e-05
PI_TRAPEZOIDAL,LAB207,64,0.00021432639999999998,0.0002634906
PI_TRAPEZOIDAL,LAB207,128,0.0016203792000000002,0.0017413108
PI_TRAPEZOIDAL,LAB207,256,0.014775960999999999,0.0151613574
PI_TRAPEZOIDAL,LAB207,512,0.1362885996,0.1379240034
PI_TRAPEZOIDAL,LAB207,1024,1.0436825559999998,1.0492877392
