PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
PI_TRAPEZOIDAL,CLUSTER,4,7.07E-07,5.73E-05
PI_TRAPEZOIDAL,CLUSTER,8,2.55E-06,4.25E-05
PI_TRAPEZOIDAL,CLUSTER,16,2.37E-05,8.21E-05
PI_TRAPEZOIDAL,CLUSTER,32,0.00016315,0.000233774
PI_TRAPEZOIDAL,CLUSTER,64,0.001509987,0.001678813
PI_TRAPEZOIDAL,CLUSTER,128,0.010025359,0.010471777
PI_TRAPEZOIDAL,CLUSTER,256,0.077015307,0.078731607
PI_TRAPEZOIDAL,CLUSTER,512,0.608910754,0.61651992
PI_TRAPEZOIDAL,CLUSTER,1024,4.502281683,4.527565137
PI_TRAPEZOIDAL,LAB207,4,5.70E-07,2.93E-05
PI_TRAPEZOIDAL,LAB207,8,2.52E-06,3.20E-05
PI_TRAPEZOIDAL,LAB207,16,1.84E-05,5.65E-05
PI_TRAPEZOIDAL,LAB207,32,0.000157121,0.000229284
PI_TRAPEZOIDAL,LAB207,64,0.001161165,0.00136404
PI_TRAPEZOIDAL,LAB207,128,0.00853264,0.009247161
PI_TRAPEZOIDAL,LAB207,256,0.06212543,0.064798364
PI_TRAPEZOIDAL,LAB207,512,0.479731692,0.489237473
PI_TRAPEZOIDAL,LAB207,1024,3.850806966,3.88889669
