PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
PI_TRAPEZOIDAL,CLUSTER,4,2.63E-07,4.43E-05
PI_TRAPEZOIDAL,CLUSTER,8,8.18E-07,4.49E-05
PI_TRAPEZOIDAL,CLUSTER,16,6.08E-06,4.75E-05
PI_TRAPEZOIDAL,CLUSTER,32,5.17E-05,0.000101027
PI_TRAPEZOIDAL,CLUSTER,64,0.000531913,0.000600813
PI_TRAPEZOIDAL,CLUSTER,128,0.003914645,0.004043331
PI_TRAPEZOIDAL,CLUSTER,256,0.032155077,0.032560956
PI_TRAPEZOIDAL,CLUSTER,512,0.268709342,0.270272569
PI_TRAPEZOIDAL,CLUSTER,1024,2.160371514,2.167373117
PI_TRAPEZOIDAL,LAB207,4,5.48E-07,2.75E-05
PI_TRAPEZOIDAL,LAB207,8,2.60E-06,3.03E-05
PI_TRAPEZOIDAL,LAB207,16,1.93E-05,5.77E-05
PI_TRAPEZOIDAL,LAB207,32,0.000158902,0.000228248
PI_TRAPEZOIDAL,LAB207,64,0.001242069,0.001440918
PI_TRAPEZOIDAL,LAB207,128,0.010204971,0.010929694
PI_TRAPEZOIDAL,LAB207,256,0.114041311,0.116693445
PI_TRAPEZOIDAL,LAB207,512,1.046698517,1.056161443
PI_TRAPEZOIDAL,LAB207,1024,22.79795777,22.83593967
