PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
PI_TRAPEZOIDAL,CLUSTER,4,6.14E-07,5.26E-05
PI_TRAPEZOIDAL,CLUSTER,8,2.89E-06,5.11E-05
PI_TRAPEZOIDAL,CLUSTER,16,2.32E-05,7.38E-05
PI_TRAPEZOIDAL,CLUSTER,32,0.000180648,0.000238276
PI_TRAPEZOIDAL,CLUSTER,64,0.001558769,0.001661427
PI_TRAPEZOIDAL,CLUSTER,128,0.013965977,0.014370988
PI_TRAPEZOIDAL,CLUSTER,256,0.154883542,0.156680848
PI_TRAPEZOIDAL,CLUSTER,512,1.316892257,1.3253334
PI_TRAPEZOIDAL,CLUSTER,1024,10.73676377,10.77336816
PI_TRAPEZOIDAL,LAB207,4,5.91E-07,2.66E-05
PI_TRAPEZOIDAL,LAB207,8,2.60E-06,2.86E-05
PI_TRAPEZOIDAL,LAB207,16,1.95E-05,5.03E-05
PI_TRAPEZOIDAL,LAB207,32,0.000162151,0.000207554
PI_TRAPEZOIDAL,LAB207,64,0.001243398,0.001355111
PI_TRAPEZOIDAL,LAB207,128,0.009110734,0.009476838
PI_TRAPEZOIDAL,LAB207,256,0.066587387,0.067950506
PI_TRAPEZOIDAL,LAB207,512,0.513184621,0.518961723
PI_TRAPEZOIDAL,LAB207,1024,4.157543857,4.182543576
