PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4,0,3.18E-07,3.95E-05,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8,0,1.91E-05,6.12E-05,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,0,2.60E-05,6.33E-05,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,0,3.44E-05,7.06E-05,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,0,6.86E-05,0.000105034,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,0,0.000133264,0.000171485,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,0,0.000275162,0.000315593,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,0,0.000578859,0.00062387,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,0,0.001241803,0.001288972,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2048,0,0.00319534,0.003268961,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4096,0,0.006802171,0.006881252,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8192,0,0.013741366,0.013849673,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16384,0,0.028419222,0.02858406,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32768,0,0.056429942,0.056717431,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,65536,0,0.119196557,0.119737927,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,131072,0,0.262665254,0.263725038,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,262144,0,0.561990958,0.563808477,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,524288,0,1.151667596,1.154700386,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4,2,6.09E-05,0.000102855,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8,2,5.77E-05,0.000102019,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,2,6.47E-05,0.000105137,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,2,6.09E-05,0.000106952,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,2,7.07E-05,0.000116528,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,2,8.06E-05,0.000125581,,
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,2,8.26E-05,0.00012688,,
