PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4,0,3.31E-07,4.11E-05
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8,0,3.21E-07,4.44E-05
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,0,4.78E-07,4.37E-05
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,0,1.47E-06,4.94E-05
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,0,3.86E-06,4.47E-05
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,0,2.86E-05,7.10E-05
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,0,8.12E-05,0.000123993
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,0,0.000190741,0.000237464
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,0,0.000408089,0.000458574
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2048,0,0.000842328,0.000895096
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4096,0,0.001707995,0.001770481
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8192,0,0.003379796,0.003465599
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16384,0,0.006796423,0.00691509
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32768,0,0.013603992,0.013819403
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,65536,0,0.026942737,0.027309181
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,131072,0,0.053963729,0.054665354
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,262144,0,0.086511288,0.087901873
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,524288,0,0.198167226,0.200699388
BINARY_SEARCH,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4,2,6.34E-05,0.00010701
