PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,SPEED UP,TOTAL_TIME,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,0,6.02E-07,1.00E+00,1.48E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,0,1.70E-06,1.00E+00,1.53E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,0,9.35E-07,1.00E+00,1.47E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,0,1.33E-06,1.00E+00,1.43E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,0,2.26E-06,1.00E+00,1.58E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,0,3.77E-06,1.00E+00,1.64E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,0,7.49E-06,1.00E+00,2.08E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,0,1.40E-05,1.00E+00,2.69E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,0,2.75E-05,1.00E+00,4.05E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,0,5.27E-05,1.00E+00,6.53E-05,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,0,1.10E-04,1.00E+00,0.0001228674,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,0,2.06E-04,1.00E+00,0.0002185368,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,0,4.34E-04,1.00E+00,0.0004468956,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,0,8.19E-04,1.00E+00,0.000831632,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,0,1.72E-03,1.00E+00,0.0017359812,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,0,3.22E-03,1.00E+00,0.0032348716,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,0,6.79E-03,1.00E+00,0.0067992024,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,0,1.28E-02,1.00E+00,0.0128427998,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,0,2.59E-02,1.00E+00,0.0259075204,,,33554432,67108864,16777216
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,0,4.99E-02,1.00E+00,0.049879557,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,0,9.28E-02,1.00E+00,0.0928378478,,0,1.00E+00,1.00E+00,1.00E+00
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,0,1.80E-01,1.00E+00,0.179549618,,2,2.751785393,2.783272276,2.722585253
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,0,3.61E-01,1.00E+00,0.361393476,,4,5.478286184,5.543315364,5.41001811
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,0,7.29E-01,1.00E+00,0.7295073766,,8,9.931405048,10.09475904,8.300415494
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,0,1.47E+00,1.00E+00,1.474302078,,12,13.75806606,14.06329466,12.5194647
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,2,8.27E-05,7.28E-03,0.0001406794,,16,17.98362785,18.20458336,16.91638539
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,2,7.37E-05,2.30E-02,0.0001102006,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,2,8.23E-05,1.14E-02,0.0001302116,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,2,7.58E-05,1.76E-02,0.000121503,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,2,8.74E-05,2.58E-02,0.000138649,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,2,8.13E-05,4.63E-02,0.0001269488,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,2,9.08E-05,8.25E-02,0.0001388906,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,2,8.88E-05,1.58E-01,0.000133486,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,2,9.82E-05,2.80E-01,0.0001470754,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,2,1.18E-04,4.47E-01,0.0001678296,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,2,0.00014508,0.7569983306,0.0001871492,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,2,0.0002142,0.9620607745,0.0002647118,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,2,0.00028027,1.547989761,0.000322202,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,2,0.00056799,1.442309852,0.0006201248,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,2,0.0008846,1.947881589,0.0009278856,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,2,0.00174448,1.847374976,0.0017946666,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,2,0.003376,2.01019255,0.0034193868,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,2,0.00628014,2.043056141,0.0063290638,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,2,0.01193388,2.169860949,0.0119783342,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,2,0.02200079,2.266630366,0.022046275,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,2,0.03804982,2.439593813,0.0380903282,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,2,0.06651794,2.699099475,0.0665569876,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,2,0.13273454,2.722585253,0.1327706218,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,2,0.26509759,2.751785393,0.2651335796,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,2,0.52969363,2.783272276,0.5297318044,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,4,7.43E-05,8.10E-03,0.0001102608,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,4,7.32E-05,2.32E-02,0.0001113464,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,4,6.88E-05,1.36E-02,0.0001045654,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,4,6.81E-05,1.96E-02,0.0001050304,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,4,7.20E-05,3.13E-02,0.0001130626,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,4,7.55E-05,4.99E-02,0.0001114166,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,4,7.32E-05,1.02E-01,0.0001090868,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,4,7.80E-05,1.79E-01,0.0001139126,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,4,7.85E-05,3.50E-01,0.0001146178,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,4,9.36E-05,5.63E-01,0.00012951,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,4,0.0001109,0.9903033429,0.0001469856,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,4,0.0001404,1.467682591,0.0001772766,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,4,0.00022542,1.924670612,0.0002642876,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,4,0.00030997,2.642899912,0.000345685,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,4,0.00056408,3.054677808,0.000601413,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,4,0.00093848,3.433947736,0.000975433,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,4,0.00179248,3.78603672,0.0018307944,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,4,0.00341228,3.760149008,0.0034488642,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,4,0.00641247,4.038205713,0.0064482344,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,4,0.01215189,4.10369453,0.0121880468,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,4,0.02193126,4.232592352,0.0219678132,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,4,0.03649959,4.918918547,0.0365355298,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,4,0.0667985,5.41001811,0.0668355512,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,4,0.13316056,5.478286184,0.133196449,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,4,0.26595665,5.543315364,0.2659926024,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,8,1.32E-04,4.56E-03,0.0001687088,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,8,1.41E-04,1.20E-02,0.0001773798,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,8,1.34E-04,6.98E-03,0.000169849,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,8,1.40E-04,9.55E-03,0.0001761496,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,8,1.33E-04,1.70E-02,0.0001688104,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,8,1.35E-04,2.80E-02,0.0001704528,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,8,1.32E-04,5.69E-02,0.0001674722,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,8,1.39E-04,1.01E-01,0.0001765698,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,8,1.53E-04,1.80E-01,0.0001906438,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2048,8,1.37E-04,3.84E-01,0.0001735366,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,8,0.00015718,0.6987347184,0.000195416,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,8,0.0001667,1.236138872,0.0002028114,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,8,0.00022847,1.89899661,0.000264623,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,8,0.00028248,2.900122418,0.0003205394,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,8,0.00037821,4.555875951,0.0004140522,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,8,0.00059795,5.389575995,0.0006337078,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,8,0.0010376,6.540503626,0.0010819298,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,8,0.00199083,6.444875073,0.0020269968,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,8,0.00364179,7.110468448,0.0036785646,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,8,0.00693268,7.193123903,0.0069689794,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,8,0.01298382,7.149364431,0.0130211776,,,,,
