PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,1.3120000000000004e-07,7.606999999999999e-06
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,2.056e-07,7.598800000000001e-06
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,3.3639999999999997e-07,7.7214e-06
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,6.068000000000001e-07,7.962599999999999e-06
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,1.135e-06,8.4426e-06
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,2.2158000000000005e-06,9.598799999999999e-06
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,4.3226e-06,1.25456e-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,0,8.7332e-06,1.6143e-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,0,1.74852e-05,2.4914000000000002e-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,0,3.5201600000000005e-05,4.2592799999999996e-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,0,6.77788e-05,7.50732e-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,0,0.00013781520000000002,0.0001451804
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,0,0.0002762706,0.0002837544
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,0,0.0005684867999999999,0.000575709
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,0,0.00109526,0.0011029695999999999
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,0,0.0021625346,0.0021704353999999998
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,0,0.004266961,0.0042744284
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,0,0.0084353376,0.008442666800000002
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,0,0.016622631199999998,0.0166299454
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,0,0.0327092034,0.0327165412
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,0,0.0645660298,0.064573497
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,0,0.1285409906,0.12854819420000002
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,67108864,0,0.2562391082,0.2562466472
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,2,7.032120000000001e-05,7.735399999999999e-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,2,5.88332e-05,6.60712e-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,2,5.5909600000000004e-05,6.314719999999998e-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,2,5.3887599999999995e-05,6.1324e-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,2,5.2559199999999996e-05,6.001520000000001e-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,2,0.0016503364,0.0016577768
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,2,6.4085e-05,7.168999999999999e-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,2,6.54652e-05,7.276360000000001e-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,2,9.90512e-05,0.00010641020000000002
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,2,6.77978e-05,7.5172e-05
